Name,URL,Category,Further Review
"Gross domestic product (GDP) at basic prices, by industry, provinces and territories, percentage share",https://www150.statcan.gc.ca/n1/tbl/csv/36100400-eng.zip,,"Historical (real-time) releases of gross domestic product (GDP) at basic prices, by industry, monthly"
"Gross domestic product (GDP) at basic prices, by industry, provinces and territories",https://www150.statcan.gc.ca/n1/tbl/csv/36100402-eng.zip,,"Environmental and Clean Technology Products Economic Account, gross domestic product"
"Gross domestic product (GDP) at basic prices, by industry, quarterly average",https://www150.statcan.gc.ca/n1/tbl/csv/36100449-eng.zip,,Tourism share of gross domestic product at basic prices
"Gross domestic product (GDP) at basic prices, by industry, monthly",https://www150.statcan.gc.ca/n1/tbl/csv/36100434-eng.zip,,"Environmental and Clean Technology Products Economic Account, Gross Domestic Product, inactive"
"Gross domestic product (GDP) at basic prices, by industry, provinces and territories, contributions to national percentage change",https://www150.statcan.gc.ca/n1/tbl/csv/36100658-eng.zip,,"Production, income and outlay accounts of nonprofit institutions and volunteering, annual, 1997 - 2008"
"Gross domestic product (GDP) at basic prices, by industry",https://www150.statcan.gc.ca/n1/tbl/csv/36100401-eng.zip,,"Income and gross domestic product (GDP) by primary area of activity, nonprofit institutions and volunteering, annual, 1997 - 2008"
"Gross domestic product (GDP) at basic prices, by sector and industry, provincial and territorial",https://www150.statcan.gc.ca/n1/tbl/csv/36100487-eng.zip,,
"Gross domestic product (GDP) at basic prices, by census metropolitan area (CMA)",https://www150.statcan.gc.ca/n1/tbl/csv/36100468-eng.zip,,
Gross domestic product (GDP) and income of non-profit institutions by activity,https://www150.statcan.gc.ca/n1/tbl/csv/36100614-eng.zip,,
"Gross domestic product (GDP) at basic prices, by North American Industry Classification System (NAICS)",https://www150.statcan.gc.ca/n1/tbl/csv/36100398-eng.zip,,
"Gross domestic product (GDP) at basic prices, by North American Industry Classification System (NAICS), quarterly",https://www150.statcan.gc.ca/n1/tbl/csv/36100389-eng.zip,,
"Gross domestic product (GDP) at basic prices, by North American Industry Classification System (NAICS), annual",https://www150.statcan.gc.ca/n1/tbl/csv/36100388-eng.zip,,
"Gross domestic product (GDP) at basic prices, by North American Industry Classification System (NAICS), monthly",https://www150.statcan.gc.ca/n1/tbl/csv/36100390-eng.zip,,
"Gross domestic product (GDP) at basic prices, by North American Industry Classification System (NAICS) and province",https://www150.statcan.gc.ca/n1/tbl/csv/36100396-eng.zip,,
Gross domestic product (GDP) of non-profit institutions by sub-sector,https://www150.statcan.gc.ca/n1/tbl/csv/36100616-eng.zip,,
"Gross domestic product (GDP) at basic prices, by special industry aggregates based on the North American Industry Classification System (NAICS) and by province",https://www150.statcan.gc.ca/n1/tbl/csv/36100397-eng.zip,,
"Gross domestic product (GDP) at basic prices, special industry aggregations based on the North American Industry Classification System (NAICS), annual",https://www150.statcan.gc.ca/n1/tbl/csv/36100391-eng.zip,,
"Gross domestic product (GDP) at basic prices, special industry aggregations based on the North American Industry Classification System (NAICS), quarterly",https://www150.statcan.gc.ca/n1/tbl/csv/36100392-eng.zip,,
"Gross domestic product (GDP) at basic prices, special industry aggregations based on the North American Industry Classification System (NAICS), monthly",https://www150.statcan.gc.ca/n1/tbl/csv/36100393-eng.zip,,
"Gross domestic product (GDP) at basic price in current dollars, System of National Accounts (SNA) benchmark values, by North American Industry Classification System (NAICS)",https://www150.statcan.gc.ca/n1/tbl/csv/36100394-eng.zip,,
"Provincial gross domestic product (GDP) at basic prices in current dollars, System of National Accounts (SNA) benchmark values, by sector and North American Industry Classification System (NAICS)",https://www150.statcan.gc.ca/n1/tbl/csv/36100408-eng.zip,,
"Gross domestic product (GDP) at basic price in current dollars, System of National Accounts (SNA) benchmark values, special industry aggregations based on the North American Industry Classification System (NAICS)",https://www150.statcan.gc.ca/n1/tbl/csv/36100395-eng.zip,,
